Business Name,Business Category,Attraction Type,Type Token,Certified,Latitude,Longitude
Sterling Drive-In,Restaurant,,food,false,37.4410034,-81.5719915
Summersville Lake Dam Overlook,Attraction,Overlook,overlook,false,38.220313,-80.890895
Summersville Lake Retreat & Lighthouse,Campground,,camping,false,38.200427,-80.864641
Taco Todd's Savage Tacos,Restaurant,,food,false,37.3019705,-81.6910459
The Gateway Restaurant,Restaurant,,food,false,38.7174622,-79.4600502
The Hutte,Restaurant,,food,false,38.7059394,-80.2011881
The Purple Fiddle,Restaurant,,food,false,39.1483174,-79.4990796
The Social Tap,Bar,,food,false,39.2729423,-80.2673701
The Tractor Bar,Bar,,food,false,38.2026449,-80.8514876
Triple S Harley-Davidson,Motorcycle Dealer,,moto,false,39.6581795,-80.01417359999999
Tygart Lake State Park,Attraction,Park/Nature,park,false,39.283240,-80.011187
Valley Harley-Davidson,Motorcycle Dealer,,moto,false,40.0640359,-80.5920605
Walkersville Covered Bridge,Attraction,Covered Bridge,bridge,false,38.85833,-80.46083
